username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Donkey Kong,1380826614,los angeles,2023-01-21 02:11:23,@aMythicWitch The first time I went to New York a woman was beaten to death by a homeless man with a brick.,0,Twitter for iPhone,
lisaderrickfinearts,1082309207716556800,"Los Angeles, CA",2023-01-21 02:10:23,@HugoForCD13 @thenewYorkBlvd You were also elected to enforce the law. Please remove the homeless encampment next t… https://t.co/sKFKzdboj9,1,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 02:08:05,Learn how anti-homeless groups are developing tactics that result in unhoused people being arrested and jailed simp… https://t.co/HirkpasMTz,5,Agorapulse app,
Brad Ewing 𓊍,330490860,"Santa Monica, CA",2023-01-21 01:57:02,There was a homeless artist on the Venice / Santa Monica beach border that asked to play at one of the free parties… https://t.co/oV53tiuZQF,0,Twitter Web App,
Kent Moyer,272654272,"Beverly Hills, Shanghai, Japan",2023-01-21 01:49:01,@MayorOfLA @usmayors Going to a Mayors conference in DC doesn’t help the homeless problem in Los Angeles.  Again it… https://t.co/7bxM0M3cEq,0,Twitter for iPhone,
VayuOfficial,718584839360815104,"Los Angeles, CA",2023-01-21 01:33:51,@EgyptianErrol @DylanBurns1776 Having loving parents and a household is better than being homeless. Two fucked up c… https://t.co/nW590NTQJ6,0,Twitter for iPhone,
ingrid eckhoff,1573671443224616961,Los Angeles,2023-01-21 01:29:05,@WallStreetSilv He lives in a homeless tent city.,0,Twitter Web App,
Mayor Karen Bass,17070113,"Los Angeles, CA",2023-01-21 01:17:32,"In order to confront this crisis, we must continue get people housed but we also must stop people from becoming hom… https://t.co/orq7hvDFVN",13,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 01:12:06,Carolyn and her sister Linda live on Hollywood Blvd. They became homeless because they cannot afford the high cost… https://t.co/4SwVIsjmEQ,6,Agorapulse app,
Angel,1586737178301767681,"Los Angeles, CA",2023-01-21 01:04:38,"when this blew up on European twitter, ig and Pinterest they were on my ass about the cheese.. bro i had stolen eve… https://t.co/LpwyqRVNo2",0,Twitter for iPhone,
𝙈,404261249,"Los Angeles, CA",2023-01-21 01:02:06,police were covering it in a drape as I noticed it but it was clearly someone who died from the cold outside :(((… https://t.co/6IMGYlFjuz,2,Twitter Web App,
